ref,category,part,manufacturer,description,package,qty,status,source,adr,notes
PCB-MODULE,module,2-layer PCB - 10HP CV interface,,"DAC, scaling, jacks, power entry, load switch","~45 x 110mm, 1.6mm",1,open,,0004,"Must brace the etherCON mechanically. 10HP, via 8HP, not 6HP: the D24.0mm bore leaves 8.17mm of panel each side at 40.34mm (ADR 0004; this said 23.8mm/8.27mm until the vendor drawing landed) | 2026-09-21: 8HP -> 10HP, so the board widens ~35mm to ~45mm. The etherCON notch is now a smaller fraction of the board, which eases the 4.5mm web a review flagged. 'watchdog' is struck from this row's description - that part is DELETED"
KNOB-BREATH,module,Knob to match the pot shaft - 14mm MAX diameter,,"Knobs for the breath gain, offset and response pots",n/a,3,candidate,,0004,"Match the shaft of the POT-BREATH variant ordered - D-shaft and knurled are not interchangeable | 2026-09-21: THREE, not two - POT-RESP added. KNOB SIZE IS NOW THE BINDING CONSTRAINT: three pots across 50.50mm with 3mm gaps needs <=14mm knobs (15mm gives 51mm and does not fit). ADR 0004's claim of '16-20mm knobs' is withdrawn. 10HP buys the height back by spending the knob size 8HP was supposed to buy - three controls at 14mm beats two at 16mm, but say so honestly"
MECH-UBOLT,mechanical,U-bolt + backing washer plate + nylocs,,Strap anchor through the full laminated stack,THROUGH-HOLE,1,open,,0009,"Position settled empirically at the M8 dry assembly, slightly above the centre of gravity. NOW ADJUSTABLE AFTERWARDS: the body opens (ADR 0009), so a slot or a row of positions in the backing plate is worth cutting. This row said ""not adjustable afterwards"" until 2026-09-21, which was true of a bonded body. Anchors to the PLATE STACK, never to oak"
MECH-BACKPLATE,mechanical,TBD - aluminium or ply,,Internal backing plate for the etherCON and the U-bolt,n/a,1,open,,0009,"The D-series panel-thickness limit is somewhere in 1-4mm depending on variant and is NOT stated on the drawing the repo holds (see J-UMBILICAL) - but it cannot mount through 6mm oak under any reading. The oak is the face the screws pass through, not the thing they hold"
MECH-THUMBREST,mechanical,TBD,,Laminated thumb rest lip on the bottom panel,n/a,1,open,,0009,A 2D part added by lamination - there is no pocketing anywhere in this design. The right thumb rests here and RT1-3 sit offset from the rest position
MECH-SERVICECOVER,mechanical,Screwed cover plate ~12 x 40mm + 2x M2,,Removable cover over HDR-SERVICE on the tail underside,n/a,1,open,,0009,"Tail underside, after the right-thumb keys, turned across the body. Screws into the plate stack, not the oak. In the M4 CAD (mechanical/) with the etherCON backing plate, and into the 1:1 paper check of the tail face"
MECH-FASTENER,mechanical,M3 socket cap screw + threaded insert or tapped plate boss,,"Six through-fasteners holding the lid to the U, up through the oak bottom",THROUGH-HOLE,6,open,,0009,"THE ONLY THING HOLDING THE INSTRUMENT CLOSED (ADR 0009). SIX, not four: the body is 457mm long and fastener spacing sets how much the lid lifts between them - six puts them ~80mm apart, clear of both key runs. Enter from the BOTTOM face, counterbored into oak so nothing is felt in play, and land in the aluminium plate. Length depends on the final stack height, which is an M4 CAD output. Threaded inserts in the plate or tapped bosses - decide with the plate drawing, not here"
ENDCAP-MOUTH,mechanical,"TBD - acrylic sheet, same stock as SIDE-ACRYLIC",,"Mouthpiece-end cap, drilled for the breath tube pass-through",flat part,1,open,,0009,"ACRYLIC, deliberately, because it is the part most likely to want changing - a wrong pass-through diameter or a different mouthpiece mount is one flat part to re-cut. IF IT LOOKS WRONG ON THE BENCH IT BECOMES OAK: same cut, same fixings, different sheet. That is why it is a separate part and not a lip on the top panel"
ENDCAP-TAIL,mechanical,"TBD - oak, same stock as BODY-OAK",,"Tail-end cap carrying the etherCON and the USB-C slot",flat part,1,open,,0009,"OAK, so the wood reads as wrapping from the top face around the bottom and up the back. The etherCON exits this face AXIALLY - straight out along the long axis, the way a flute foot joint is open at the end (ADR 0004) - so a 2m tether hangs rather than twists. Does NOT carry the connector itself: MECH-BACKPLATE does, and the oak is the face the screws pass through. Bore is D24.0mm MINIMUM per the vendor drawing, leaving 7.0mm of material per side on a 38mm face - NOT the 3.5mm this was figured at while the 26x31mm FLANGE was mistaken for the cutout. ROTATE THE CONNECTOR 90 DEGREES: flange margin goes 3.50 -> 6.00mm and the screw-hole edge 5.40 -> 7.90mm, for 5mm of width beside it that the USB-C slot does not need (ADR 0009). The 7.0mm bore margin is rotation-invariant"
U-TVS-MODULE,module,"Same three groups, module end of the etherCON",multiple,ESD protection at the module end of the umbilical,as above,1,open,,0004,"The BOM had protection at one end only. DELIBERATELY open, not forgotten: the module is behind four screws and this is retrofittable. The instrument end is no longer bonded shut either (ADR 0009) - it is behind six - so the asymmetry in this argument is now one of effort, not of possibility. Fit at E12 if E11 gives any reason to"
ADH-WOOD,mechanical,PVA wood glue (Titebond II/III class),,Oak-to-oak lamination: spacer layers and the thumb rest lip,n/a,1,candidate,,0009,"The only wood-to-wood joints in the stack, and the strongest and cheapest joint available. Does NOT bond aluminium or acrylic, which is half the reason the old single MECH-ADHESIVE row could not have worked"
ADH-RTV,mechanical,"RTV silicone - ALKOXY (alcohol) neutral cure, electronics-safe",,"Plate to oak, matrix diffuser, thumb plate - and the lid gasket",n/a,1,candidate,,0009,"NOT ACETOXY. The common hardware-store type releases acetic acid while curing, inside a sealed cavity holding two dev boards, a carrier, connectors and a pressure sensor. Compliant in shear so the oak's 0.6-0.9mm of cross-grain humidity movement does not fight the aluminium plate; stiff in compression so the plate is still backed under a key press. BEAD IT, DO NOT BUTTER IT - cure needs atmospheric moisture and runs ~2mm/day inwards, so a trapped full-face layer never cures. Keep it off both sensor ports (ADR 0003) | 2026-09-21: TWO JOBS NOW. Adhesive on the permanent joints above; GASKET on the lid-to-U joint, which opens on six fasteners (ADR 0009). Same tube. Lay the gasket bead on ONE face, let it skin, then clamp - a fresh bead glues the lid shut, which is the failure this change exists to avoid"
U-MCU-SPARE,controller,Spare ESP32-S3-Matrix + spare T-Display-S3 AMOLED,Waveshare / LilyGO,"Spare dev boards, bought with the originals",n/a,2,candidate,,0013,"BUY THEM WITH THE ORIGINALS, not later. ADR 0013 names a discontinued dev board as a redesign risk and both vendors ship silent revisions. A spare DOES rescue a bricked instrument now that the body opens on six fasteners (ADR 0009) - this row said it could not, which was true while the body was bonded. Still insurance against a dead board during BUILD and bring-up, and against the part vanishing before M8"
CBL-USB-EXT,controller,Panel-mount USB-C extension (male to panel-mount female),,"Brings the ESP32-S3-Matrix USB-C port to the tail face beside the etherCON - flashing, USB MIDI and USB-Serial-JTAG recovery",panel-mount,1,open,,0009,"Shortest that reaches from the Matrix board to the tail cap with slack for the cap to come off - mechanical/drc.echo gives the run. Full-speed USB only"
