id,slice,line,severity,verdict,headline
N5-12,N5,594,low,recorded,"N5-12 — J-LED-L / J-LED-R · LOW, suspicion, adjacent to my slice"
N5-2,N5,149,medium,recorded,N5-2 — carrier/display-and-service-uart · J-DISP.SUPPLY · MEDIUM
N5-3,N5,205,medium,recorded,N5-3 — cluster/key-register · U-KEYS.A..H and KEY_BITS / MARKER_BITS · MEDIUM
N5-4,N5,265,medium,recorded,"N5-4 — cluster/key-marker-and-bits · FREE_BIT_1..3 , MARKER_HIGH , MARKER_LOW · MEDIUM"
N5-5,N5,315,medium,recorded,"N5-5 — cluster/key-marker-and-bits · MARKER_HIGH ≡ V3V3_CHAIN , MARKER_LOW ≡ GND_CHAIN · MEDIUM"
N5-6,N5,359,medium,recorded,N5-6 — carrier/power-entry-instrument · AGND_INST · MEDIUM
N5-7,N5,414,medium,NOT ADDRESSED,N5-7 — module/umbilical-load-switch · U-LOADSW.PWRGD · MEDIUM
N5-8,N5,460,low,NOT ADDRESSED,N5-8 — module/panel-led · LED-PANEL.K · LOW–MEDIUM
N5-9,N5,498,low,NOT ADDRESSED,N5-9 — module/dac8568 · CLR port provenance · LOW–MEDIUM
N6-1,N6,75,high,recorded,"N6-1 — HIGH — carrier/carrier : 20 endpoint assertions, 14 of them driver claims, and no Interfaces table or circuit.yaml anywhere"
N6-10,N6,457,medium,NOT ADDRESSED,N6-10 — MEDIUM — V3V3_CHAIN at key-marker-and-bits is ref on the page and in everywhere else
N6-11,N6,484,medium,NOT ADDRESSED,"N6-11 — MEDIUM — AGND_MOD at module/panel-led is asserted by the master, disclaimed by the circuit and absent from the origin's page"
N6-12,N6,523,medium,NOT ADDRESSED,N6-12 — MEDIUM — PWR_GND : the origin page names 2 of the 6 circuits the master does
N6-13,N6,553,medium,NOT ADDRESSED,"N6-13 — MEDIUM — AGND_INST : the origin's page has no row for it, and one reference: circuit has none either"
N6-14,N6,582,medium,NOT ADDRESSED,N6-14 — MEDIUM — SENSOR_RAW is named by no Interfaces table at either end
N6-15,N6,610,medium,NOT ADDRESSED,"N6-15 — MEDIUM — BREATH_INAMP_OUT : three pages put interfaces/breath-sense-link on it, including one claiming out"
N6-16,N6,644,medium,NOT ADDRESSED,N6-16 — MEDIUM — key-chain-loom.md 's four signal rows carry one Dir each across two master nets
N6-17,N6,680,low,NOT ADDRESSED,N6-17 — LOW (suspicion) — GND_CHAIN and PWR_GND : the master's own note says they are not separate nodes
N6-18,N6,711,low,NOT ADDRESSED,"N6-18 — LOW (suspicion) — CHAIN_SER and CHAIN_QH are per-hop nets modelled as single nets, where KEY_BITS got per_board:"
N6-19,N6,744,low,NOT ADDRESSED,N6-19 — LOW — key-marker-and-bits.md has two rows whose far ends say —
N6-2,N6,129,high,recorded,N6-2 — HIGH — SCLK / MOSI / CS_MOD : spi-link.md says out on three nets the master says it receives
N6-20,N6,769,low,NOT ADDRESSED,"N6-20 — LOW — from: / to: in the netlists is unchecked, and 11 ports disagree with the master"
N6-21,N6,809,low,NOT ADDRESSED,N6-21 — LOW — breath-response-shaper 's netlist says the master carries it on three nets; the master carries it on four
N6-22,N6,842,low,recorded,"N6-22 — LOW — breath-output-stage 's netlist carries MODULE_ANALOG_NEG12 twice, once as an external_endpoint"
N6-3,N6,165,high,recorded,"N6-3 — HIGH — SENSOR_BUFFERED_OUT : the driver's page never mentions it, and the two pages that do name the wrong source"
N6-4,N6,211,high,recorded,"N6-4 — HIGH — DAC_AVDD : the receiver moved from spi-link to digital-and-supervision , and power-entry.md now explicitly denies the receiver the master asserts"
N6-5,N6,257,medium,recorded,"N6-5 — MEDIUM-HIGH — CHAIN_QH and IO40 are two master nets for one node, and the netlist says so"
N6-6,N6,303,medium,NOT ADDRESSED,"N6-6 — MEDIUM-HIGH — interfaces/spi-link : 8 master assertions, 1 confirmed by its table, 4 with no row at all"
N6-7,N6,350,medium,NOT ADDRESSED,N6-7 — MEDIUM — UMBILICAL_POS12 : the merge landed in the netlists and in none of the three pages
N6-8,N6,393,medium,NOT ADDRESSED,N6-8 — MEDIUM — nets.yaml 's own comment says spi-link is a receiver on SCLK_DAC / DIN / SYNC ; none of the three entries names it
N6-9,N6,423,medium,NOT ADDRESSED,N6-9 — MEDIUM — led-strip-drive.md 's one — row covers two nets that both have declared ports
N7-1,N7,210,,recorded,"N7-1 — module/umbilical-load-switch / C-DECOUPLE — 18 of 19 module decoupling capacitors are placed by nothing, and no file says why"
N7-10,N7,671,,recorded,"N7-10 — tools/check-netlist.py — two of the seven shortfalls have no written reason, against a source comment that says every one does; and the docstring misstates which thing is unplaced"
N7-11,N7,709,,recorded,N7-11 — interfaces/breath-sense-link / U-BREATH — the reason qty is 2 is written only on a different row
N7-12,N7,742,,NOT ADDRESSED,"N7-12 — carrier/power-entry-instrument / D-USBOR — the two instances declare no value: , so the BOM-value check passes them vacuously"
N7-13,N7,774,,NOT ADDRESSED,N7-13 — C-DECOUPLE and C-DECOUPLE-CARRIER — both board-wide rows live with a circuit that places a small minority of them
N7-14,N7,810,,NOT ADDRESSED,"N7-14 — cluster/key-switch-network / SW-THUMB — 25 switches are budgeted for 21 positions, and the model cannot express the either/or"
N7-15,N7,835,,recorded,"N7-15 — R1 / R2 — the same instance name denotes three different BOM rows, and the cross-page resolver nulls it"
N7-2,N7,254,,NOT ADDRESSED,N7-2 — carrier/ / C-DECOUPLE-CARRIER — 3 of 8 are missing from circuits that already place the IC they bypass
N7-3,N7,298,,NOT ADDRESSED,"N7-3 — carrier / HDR-DEV — qty 6 is described three incompatible ways, and carrier.md refutes its own fragment"
N7-4,N7,352,,NOT ADDRESSED,"N7-4 — module/breath-response-shaper / U-RESP and module/breath-receive-stage / U-OPA-PITCH — the module's OPA2197 package count is asserted two ways, and section: records nothing that could settle it"
N7-5,N7,420,,NOT ADDRESSED,"N7-5 — module/breath-response-shaper / U-RESP — the second half has two incompatible jobs, and the netlist places neither"
N7-6,N7,471,,NOT ADDRESSED,"N7-6 — module/power-entry / C-BULK-RAIL — the value string enumerates three rails for four placed capacitors, and the one it omits is a +12 V branch at 47 µF"
N7-7,N7,517,,recorded,"N7-7 — module/pitch-stage / R-BIAS-INAMP — the row lives in a fragment whose page only mentions it as a contrast, and places none of it"
N7-8,N7,553,,recorded,"N7-8 — tools/check-netlist.py check_global — one section: token anywhere on a row exempts that row from over-use and shortfall detection, globally"
N7-9,N7,615,,recorded,"N7-9 — check_global — a row placed zero times is invisible, and twelve rows are in that state"
N8-1,N8,88,,recorded,"N8-1 — R-RESP-IN / R-RESP-FB / R-RESP-DIV and R_G : an unbracketed value in a drawing is checked by nothing, and nothing says so"
N8-10,N8,487,,NOT ADDRESSED,N8-10 — sensor-full-scale : a dated escape record was edited to name two rows that did not exist on that date
N8-11,N8,522,,NOT ADDRESSED,"N8-11 — ROADMAP.md ""Seven fixes to the label parser alone"" enumerates eight, and omits the first one"
N8-12,N8,555,,NOT ADDRESSED,"N8-12 — the instance line names seven short rows; the reader-facing list explains five, and its stated reason is wrong for one of those"
N8-13,N8,583,,recorded,"N8-13 — R-BREATH-OFF and C-REG-ADJ : history pasted back into the BOM notes column, four rows at a time, with the retired aggregate's name reused for a live child"
N8-14,N8,627,,recorded,"N8-14 — ""the pending list just grew from five to eight"": the checker printed seven in that commit"
N8-15,N8,655,,recorded,"N8-15 — R-ILIM , LK-SER , R-SER-TERM : three bracketed labels whose values are silently never compared"
N8-2,N8,143,,recorded,"N8-2 — C-BULK-RAIL : the eighth aggregate row, on the page the exercise started from, survived because the value test is a substring match"
N8-3,N8,193,,recorded,"N8-3 — the global instance count cannot see a row placed zero times, and J-CV ""from unplaced to 6/6"" records a transition nothing measured"
N8-4,N8,243,,NOT ADDRESSED,N8-4 — AGND_INST : the PWR_GND fix removed two peers and left the boundary declared from one side only
N8-5,N8,287,,NOT ADDRESSED,"N8-5 — carrier/carrier : a circuit id with no circuit.yaml , named as a Peer, where the README's own mechanical rule cannot be applied"
N8-6,N8,327,,NOT ADDRESSED,N8-6 — HDR-DEV : the netlist note written to explain 1/6 contradicts the row it is checked against and both statements on its own page
N8-7,N8,365,,NOT ADDRESSED,"N8-7 — hardware/README.md : the paragraph a reader hits first says nothing checks a drawing, directly above the paragraph saying a tool does"
N8-8,N8,410,,NOT ADDRESSED,N8-8 — R-SPI-PULL : the fix's own explanation quotes the row in the wording the same commit deleted
N8-9,N8,441,,NOT ADDRESSED,"N8-9 — ""runs from the commit gate"": there is no gate that blocks, and one netlist problem is reported as five"
R2-1,N1,,,NOT ADDRESSED,CITED ONLY - introduced in no report
R2-2,N1|N5,,,NOT ADDRESSED,CITED ONLY - introduced in no report
R3-1,N1,,,NOT ADDRESSED,CITED ONLY - introduced in no report
R4-1,N1,,,NOT ADDRESSED,CITED ONLY - introduced in no report
Z0-9,N8,,,NOT ADDRESSED,CITED ONLY - introduced in no report
